platform,Negative,Neutral,Positive
Blinkit,32.93972109761584,5.364372469635628,61.69590643274854
Instamart,45.88032373623457,4.550882313918005,49.56879394984742
Zepto,68.3947681331748,2.489100277447483,29.116131589377726
