platform,1,2,3,4,5
Blinkit,28.96986054880792,3.969860548807917,5.364372469635628,9.6378767431399,52.058029689608645
Instamart,41.979567467162,3.900756269072575,4.550882313918005,8.226084649064616,41.3427093007828
Zepto,65.08125247720967,3.3135156559651207,2.489100277447483,3.2104637336504163,25.90566785572731
